id,primary_code,secondary_code,third_code,combo_code,created_at,updated_at
560,e109,k05,,E10630,,
561,L98412,L98412,,l98412,,
562,E089,H3500,,E083491,,
563,E099,e113413,,E093413,,
564,E099,e113543,,E093543,,
565,E109,e113499,,E103499,,
566,F0280,r451,,F02C11,,
567,F0390,f419,,F03B4,,
568,f10239,r410,,F10231,,
569,I25739,I201,,I25731,,
570,i2724,i26,,I2724,,
571,n059,n059,,N00A,,
572,E099,H3521,,E093551,,
573,E119,H3500,,E113411,,
574,E099,H3500,,E093392,,
575,E119,E15,,E08641,,
576,E099,H3500,,E093553,,
577,E119,H3500,,E133311,,
578,E099,H3500,,E093543,,
579,R319,N059,,N02A,,
580,E089,H3343,,E083523,,
581,E089,H3581,,E0837X9,,
582,E099,H3581,,E093292,,
583,E099,H3500,,E093512,,
584,E099,H3520,,E093599,,
585,E119,H3522,,E113552,,
586,E119,M129,,E11610,,
587,E119,H3500,,E133212,,
588,E139,H3500,,E133491,,
589,E139,H3520,,E133559,,
590,R58,G8190,,I69052,,
591,F1020,R188,,K7031,,
592,E139,E083212,,E133292,,
593,E089,E1137X9,,E0837X9,,
594,F03B0,R4584,,F03B3,,
595,I639,G8321,,I69332,,
596,E089,E11359,,E083591,,
597,E109,E133412,,E103412,,
598,E089,E11359,,E093592,,
599,M069,J984,,m0510,,
600,E089,E10352,,E093521,,
601,E119,E1100,,E1301,,
602,E089,E162,,E10649,,
603,E089,E10352,,E083523,,
604,I25719,I200,,I25710,,
605,E119,E11319,,E083213,,
606,E118,E1151,,E1351,,
607,E089,E113219,,E093219,,
608,E119,E1137X9,,E1137X2,,
609,F13120,F059,,F13221,,
610,E089,E1141,,E0841,,
611,E119,E133412,,E113412,,
612,E089,E1137X3,,E0837X3,,
613,E119,E11329,,E113299,,
614,E119,E083212,,E113292,,
615,E119,E11339,,E113392,,
616,E139,G7000,,E1344,,
617,E089,H3500,,E083211,,
618,E089,H3500,,E083492,,
619,E099,E11341,,E093419,,
620,E099,E1149,,E0949,,
621,E109,E103219,,e103312,,
622,E109,E10352,,E103521,,
623,E119,E11341,,E113419,,
624,E119,E11352,,E113533,,
625,E119,E11359,,E113599,,
626,E139,E11641,,E13641,,
627,F1020,F10231,,F10231,,
628,F1210,F062,,F12150,,
629,F1320,G47,,F13182,,
630,I2573,I201,,I25731,,
631,I639,I63112,,I63119,,
632,I639,G81,,I69359,,
633,K5090,K56609,,K50912,,
634,R319,N009,,N02A,,
635,E119,H3500,,E11331,,
636,E099,H3521,,E093521,,
637,F1090,F39,,F1094,,
638,E109,H3500,,E103291,,
639,C9200,Q899,,C92A2,,
640,I25810,I201,,I25701,,
641,E099,M146,,E09610,,
642,E099,H3500,,E093523,,
643,E119,M146,,E11610,,
644,M5090,G959,,M5000,,
645,A419,R7881,,A4150,,
646,E089,H3500,,E083299,,
647,E089,H3500,,E083521,,
648,E099,H3500,,E093593,,
649,E109,H3500,,E103531,,
650,E109,H4313,,E1039,,
651,E119,H3500,,E113551,,
652,E119,M129,,e1161,,
653,E139,H3500,,E133551,,
654,F1120,R41,,F11221,,
655,F1220,F29,,F12250,,
656,F1320,F060,,F13251,,
657,I25810,O209,,I25709,,
658,I25812,I202,,I25752,,
659,A419,G64,,T85732,,
660,E109,E1121,,E1121,,
661,K7040,K7040,,K7040,,
662,E119,E0929,,E0929,,
663,E109,E10630,,E10630,,
664,E119,E133549,,E133549,,
665,F0280,F02B18,,F02B18,,
666,E109,E10A0,,E10A0,,
667,A419,T84611A,,T84611A,,
668,z9481,T8600,,T8600,,
669,E099,E0837X2,,E0837X2,,
670,e109,E1052,,E1052,,
671,f0150,F01A2,,F01A2,,
672,i2510,I2583,,I2583,,
673,f12229,F12222,,F12222,,
674,F11229,F11222,,F11222,,
675,E119,E133219,,E133219,,
676,E119,E093313,,E093313,,
677,E099,E0959,,E0959,,
678,E119,E133521,,E133521,,
679,e139,E1311,,E1311,,
680,e109,E10351,,E10351,,
681,e109,E1051,,E1051,,
682,E099,E0944,,E0944,,
683,E119,E1142,,E1142,,
684,f1112,F11122,,F11122,,
685,D5703,D5703,,D5703,,
686,F1020,F10221,,F10221,,
687,E139,E139,,E139,,
688,F1010,F10120,,F10120,,
689,R319,N02A,,N02A,,
690,M350,M350A,,M350A,,
691,I25810,i70331,,i70331,,
692,E119,E0849,,E0849,,
693,A389,H6690,,A380,,
694,A419,B950,,A400,,
695,A419,A498,,A4153,,
696,B159,K7291,,B150,,
697,B1710,K7291,,B1711,,
698,C9440,D7581,,C9442,,
699,D464,D643,,D461,,
700,D571,D57211,,D57211,,
701,D571,D57212,,D57212,,
702,D571,D57219,,D57219,,
703,D5742,D57432,,D57432,,
704,D5744,D57451,,D57451,,
705,E0590,E0510,,E0510,,
706,E0590,E0540,,E0540,,
707,E089,E083313,,E083313,,
708,E089,E083319,,E083319,,
709,E089,H3342,,E083522,,
710,E089,H3340,,E083529,,
711,E089,H3342,,E083532,,
712,E089,H3343,,E083533,,
713,E089,H3340,,E083539,,
714,E089,H33001,,E083541,,
715,E089,H33003,,E083543,,
716,E099,E0901,,E0901,,
717,E09,E8729,,E0911,,
718,E09,N189,,E0922,,
719,E09,E093311,,E093311,,
720,E09,E093392,,E093392,,
721,E09,E093393,,E093393,,
722,E09,E093412,,E093412,,
723,E099,H3343,,E093523,,
724,E099,H3340,,E093529,,
725,E09,H33002,,E093542,,
726,E09,E0939,,E0939,,
727,E099,G709,,E0944,,
728,E09,G718,,E0944,,
729,E099,E0969,,E0969,,
730,E099,E099,,E099,,
731,E109,H3341,,E103521,,
732,E109,H3342,,E103522,,
733,E109,H3340,,E103529,,
734,E109,H3581,,E1037X9,,
735,E119,H3340,,E11352,,
736,E119,H3341,,E113521,,
737,E119,H3340,,E113529,,
738,E119,E11359,,E11359,,
739,E139,E133511,,E133512,,
740,E139,H3341,,E133521,,
741,E139,H3341,,E133531,,
742,E139,H33002,,E133541,,
743,E119,H33009,,E133549,,
744,e139,h400,,E1339,,
745,E139,E1359,,E1359,,
746,E119,G629,,E13610,,
747,E139,K029,,E13638,,
748,F01A0,R451,,F01A11,,
749,F0150,G479,,F01A18,,
750,F0150,F919,,F01B18,,
751,F0150,F32A,,F01C3,,
752,F0280,F919,,F0282,,
753,F0280,F32A,,F0283,,
754,F0280,F419,,F02B4,,
755,F0390,f062,,F0392,,
756,F02B0,F419,,F03A4,,
757,F03B0,F419,,F03B4,,
758,F10139,F29,,F10132,,
759,F1010,F10951,,F10151,,
760,F10232,F10232,,F10232,,
761,F10939,F10932,,F10932,,
762,F1099,F060,,F10951,,
763,F1099,F1097,,F1097,,
764,F1120,R37,,F11281,,
765,F11120,F11922,,F11922,,
766,F12120,F12122,,F12122,,
767,F12229,R410,,F12221,,
768,F1290,F10951,,F12951,,
769,F13120,R410,,F13121,,
770,F13139,f19139,,F13131,,
771,F1310,F29,,F13150,,
772,F1310,F29,,F13151,,
773,F13229,R410,,F13221,,
774,F4320,F4321,,f4321,,
775,G20,F0390,,G20A1,,
776,I10,N186,,I1311,,
777,I25810,i209,,I25718,,
778,I2510,I208,,I25718,,
779,I25810,I208,,I25738,,
780,I25759,I200,,I25750,,
781,I2510,I209,,I25759,,
782,I2584,I2510,,I2584,,
783,G8190,I639,,i69359,,
784,I609,G8320,,I69139,,
785,I6990,G8310,,I69249,,
786,I639,G8324,,I69334,,
787,I639,G8320,,I69341,,
788,I639,g8312,,I69342,,
789,I639,G8314,,I69344,,
790,I8390,L97909,,I8300,,
791,J9690,R0902,,J9691,,
792,j9690,r0902,,J9601,,
793,J9600,R0902,,J9601,,
794,M3500,M130,,M3505,,
795,M3500,N08,,M350A,,
796,M8440XA,M810,,M8000XA,,
797,A419,B999,,T8461,,
798,E109,e1103313,,e1103313,,
799,E119,E11353,,E11353,,
800,E119,E1111,,E1141,,
801,E119,E113559,,E1142,,
802,F0390,E11622,,F03B2,,
803,F0390,F01A2,,F01A2,,
804,E119,E113559,,E113299,,
805,E119,E11319,,E113419,,
806,E119,E083552,,E113529,,
807,E119,E11622,,E113559,,
808,E119,E1111,,E1142,,
809,E139,E13319,,E13319,,
810,E139,E1343,,E1343,,
811,E139,E13630,,E13630,,
812,E139,E10311,,E10311,,
813,E139,E103313,,E103313,,
814,E139,E103492,,E103492,,
815,E139,E103532,,E103532,,
816,E139,E103592,,E103592,,
817,E139,E1043,,E1043,,
818,E139,E10630,,E10630,,
819,E089,E09630,,E09630,,
820,I10,I1311,,I1311,,
821,F1010,F03911,,F10181,,
822,F1020,F03C2,,F10280,,
823,F1310,F13259,,F13259,,
824,I10,I110,,I110,,
825,I10,E1069,,I152,,
826,I2572,I25710,,I25710,,
827,I713,I711,,I7160,,
828,I6930,I69342,,I69342,,
829,F0390,F03C2,,F03C2,,
830,E059,E0501,,E0501,,
831,E059,E0591,,E0591,,
832,E089,H269,,E0936,,
833,E119,E083552,,E113319,,
834,E119,E11622,,E113499,,
835,E119,E1111,,E113539,,
836,E119,E1300,,E1151,,
837,E119,E133219,,E1300,,
838,E119,E133393,,E133219,,
839,E119,E133543,,E133393,,
840,E119,E1337X1,,E133513,,
841,E119,E133543,,E133543,,
842,E119,E1365,,E1365,,
843,E109,E1143,,E1042,,
844,E109,E1144,,E10610,,
845,E109,E113319,,E10638,,
846,E119,E113539,,E1143,,
847,E119,E113599,,E1144,,
848,E109,E1139,,E1042,,
849,E109,E1152,,E10610,,
850,E109,E11630,,E1043,,
851,E09,E08311,,E0943,,
852,E09,E083313,,E0944,,
853,E09,E1121,,E0842,,
854,E09,E113311,,E08610,,
855,E09,E113531,,E0843,,
856,E139,E113591,,E1343,,
857,E139,E1143,,E1344,,
858,I10,E11622,,I110,,
859,I2583,E1329,,I2583,,
860,K5090,E133311,,K50113,,
861,K5130,E133531,,K51313,,
